texts,label
Prepared Reuters The Broadcast Monitoring Company DAILY TELEGRAPH NEW WORLD MAKES BT SEE RED New World Payphones small rival British Telecom open first red phone box London The company locked legal battle BT green phone boxes New World claims larger rival tried upstage last month announcing new red box day produced red version pyramidshaped roof BT awarded injunction New World halt installation green box alleges based red design FIRSTBUS TO BID FOR BULK OF RAIL FRANCHISES Britains largest bus operator Firstbus bid nearly remaining franchises offered rail privatisation The company selective bidding rail operating companies confirmed changing approach final train operating companies However Stagecoach bus company also expanding rail declared also bid companies CLARKE URGED TO TOE BANK LINE ON RATES According Patrick Moon UK economist Lloyds Bank credibility economic policy could threatened disagreements chancellor Kenneth Clarke governor Bank England Eddie George interest rate policy Mr Moon believes chancellor resist temptation cut interest rates advice Mr George Mr Clarke Mr George disagreed half occasions interest rate change made THE TIMES NEILSON COBBOLD TAKEOVER MAY SEE MILLION STG BONUS Viscount Lifford director Liverpool stockbroker Neilson Cobbold line million stg bonus part takeover firm financial services group Rathbone Brothers This one incentives given senior staff Neilson part offer Rathbone values company million stg The incentives far exceed guidelines set Greenbury committee executive pay US TELECOMS DEAL CREATES BILLION DOLLAR GROUP The takeover WorldCom MFS Communications create one largest telecoms groups US The company provide longdistance local phone services Internet access It market capitalisation billion dollars annual revenues billion stg growing percent year This marks third big deal industry year companies try protect positions local longdistance markets market deregulated LAWYERS STUDY PEACE PLAN FOR TROUBLED TOBACCO FIRMS US lawmakers preparing legislation could end large amount lawsuits brought tobacco industry former workers The plan give industry immunity legal action regulation Food Drug Administration years Tobacco companies give government large sums money used cover medical costs smoking antismoking campaigns reimbursement individuals suffering form tobaccorelated diseases THE GUARDIAN CBI SEEKS VOLUNTARY EMPLOYEE POWER CODE The CBI trying tackle job insecurity head Labour Party plans compulsory works councils drafting new corporate benchmark employee involvement CBI members want use voluntary code persuade firms consult staff concern calls worker participation business decisions lead government interference employers rights manage RURAL JOBLESS SET TO LOSE PERCENT OF THEIR BENEFIT According experts independent Unemployment Unit jobless people living rural areas lose percent benefit forced travel four hours sign new Job Seekers Allowance They say small print JSA halve number people claim benefit post The JSA compensate infrequent bus train services journeys could cost five pounds stg SMITHS WILL NEED TO BE CONVINCING WH Smiths new chairman Bill Cockburn needs convince City tomorrow group turned new leaf He announce first fullyear loss groups history Since becoming chief executive sold companys stake loss making DoItAll chain cut number business suppliers made staff redundant The bill reconstructuring result fullyear loss million stg THE INDEPENDENT CHANNEL FOUR SALE WOULD RAISE LESS THAN ONE BILLION STG Anthony Fry senior City merchant banker BZW claims Channel Four would worth less one billion stg privatised He commented Edinburgh International Television Festival yesterday The Treasury proposed selloff way raise revenues fund tax cuts could part next Conservative Party manifesto Channel Four chief executive Michael Grade vowed fight selloff LENDERS USE LOAN DEALS TO INFLATE PROFITS Some biggest mortgage lenders Britain set boost financial returns spreading cost special incentives given borrowers several years By amortising mortgage discounts cashbacks special deals paid customers building societies banks report profits tens millions pounds higher rivals UK SMALL BUSINESSES CONFIDENT ABOUT FUTURE It emerged Britains small businesses confident western Europe providing evidence economy picking up There large increase optimism among British entrepreneurs commercial environment first six months year despite increasingly gloomy outlook faced colleagues Continent BMC,GCAT
Here highlights stories Danish press Thursday Reuters verified stories vouch accuracy BERLINGSKE TIDENDE Danish mobile phone company Sonofon agreed electricity company NESA using NESAs cable net telecommunication compete telecommunications group Tele Danmark POLITIKEN The Danish Red Cross established new department business sponsors already negotiating number large Danish companies sponsorship deals Small Danish companies fail obtain orders use Internet says Director Danish IT sector asssociation JYLLANDSPOSTEN The Danish public sector deficit decreasing sooner expected government still cannot expect reach goal balance budget Danish poultry firm Danpo western Denmark fight produce first Danish samonellafree chicken The new Danpo chicken launced October BORSEN Wage increase companies members The Danish Federation Industry lower last year Federation foresees DET FRI AKTUELT Conservativ leader Hans Engell says party demand change present early retirement rules state Budget negotiations later year,GCAT
Prepared Reuters The Broadcast Monitoring Company GO DISCS HEAD QUITS FOLLOWING POLYGRAM DEAL The news PolyGram controlled Philips Electronics taken Go Discs one Britains leading independent record labels led resignation companys founder Andy Macdonald described deal oppressive PolyGram expressed regret decision The two companies links since PolyGram took percent stake Go Renewal agreement resulted Dutch entertainment group taking control deal value neither party would discuss BRITISH GAS FEARS JOB LOSSES OVER PRICE CUTS Details released gas industry regulator Ofgas concerning price restrictions proposing Transco pipeline division British Gas Initially regulator would like Transco reduce prices percent cuts percent per annum next four years The restrictions planned severe industry feared However British Gas continued assertion cuts interests either consumers shareholders could lead job losses USAIR SEEKS TO FIGHT BA ON ATLANTIC ROUTES USAir angered planned alliance British Airways American Airlines asked US authorities permission begin services direct London direct competition BA While BA holds stake percent USAir erstwhile partner attempting alliance dissolved reaction American Airlines deal Efforts aimed reaching compromise hampered BAs insistence USAir first drop litigation NETSCAPE URGES LEGAL ACTION OVER MICROSOFT The Internet technology specialist Netscape Communications called US Justice Department take action Microsoft claiming US software giant recently targeted market involved anticompetitive behaviour Both companies currently engaged battle establish Internet browsers industry standard The arrival Microsoft scene led number setbacks Netscape seen share price decline FALL IN RETAIL SALES SETS BACK RECOVERY Figures July indicate UK retail sales suffered largest fall year setting back hopes consumerled general economic recovery The figures worse anticipated expected taken Chancellor vindication reduction UK interest rates Observers however believe sales pick gradually balance year A forthcoming report Confederation British Industry expected indicate economy course meet governments inflation targets GUMMER REJECTS CALL FOR DRACONIAN CAR CURBS Detailing governments plans major improvements quality countrys air environment secretary rejected criticism lack action taken deal directly usage motor vehicles The government accepted cars play major role urban atmospheric pollution believes direct action reduce use would prove ineffective Instead individual drivers urged change habits making greater use alternative forms transport BT CUTS COST OF BUSINESS LINK TO SUPERHIGHWAY British Telecom announced reductions charges small companies access highspeed ISDN lines one channel information superhighway In past company criticised industry regulator Oftel high costs data transfer services This led Britain left behind European competitor nations use technology At present ISDN services major growth sector volume BTs business field doubling year LLOYDS HOPEFUL PLAN WILL SURVIVE US BLOW Lloyds London reported optimistic recovery strategy market survive US court challenge rebel investors The judge involved case let known seek prevent market reaching outofcourt settlements lossmaking Names The challenge comes less week deadline investors must decide whether accept billion stg settlement proposal STOCK EXCHANGE TRADES IN PHONES The London Stock Exchange plans introduce schedule week Sequence electronic trading system The move result end telephonebased trading markets AIM Seats Instead orders placed via computer processed central exchange Member firms Stock Exchange also obliged produce reports trades electronic form The changes expected result lower administrative costs involved sector For full range news monitoring services phone BMC,GCAT
Equipment problems mechanical failure forced recovery expedition give efforts retrieve giant slab RMS Titanic ocean floor spokeswoman said Friday A ton piece Titanics steel hull attached cables recovery ship coast Newfoundland Canada fell back bottom sea said Erin Purcell Bostonbased Reagan Communications represents two ships used expedition The piece hull lifted ocean floor means several dieselfilled bags stuck feet about metres waters surface fell said It fell recovery crews trying haul piece shallow water several bags burst cables snapped said The steelhulled Titanic thought unsinkable struck iceberg April sank killing passengers crew board The wreck located Passengers paid accompany recovery expedition two cruise ships returned back port Thursday Purcell said,GCAT
Lithuanian newspapers carried following reports Monday editions Reuters verified stories vouch accuracy LIETUVOS RYTAS The Lithuanian Christian Democratic party discussed platform list candidates Octobers parliamentary elections weekend An open auction National Stock Exchange today opens second privatisation stage Lithuania International audit company Arthur Andersen reported Hermis Bank million litas net profit first six months year The assets HB put million litas RESPUBLIKA The unemployment rate percent less July June unemployed people Lithuania Labour Exchange report reveals The Lithuanian Democratic Party promises pay major attention agricultural reform impose order tax system pay special attention fight corruption election programm Riga Newsroom,GCAT
These leading stories Egyptian press Thursday Reuters verified stories vouch accuracy ALAHRAM Prime Minister Kamal Ganzouri announced next cabinet meeting first Wednesday September would discuss new single investment law studied levels The aim law bring together laws governing investment activity one law It decided sell percent shares eight new industrial companies working milling textiles housing mining sectors starting next month Public Enterprise Minister Atef Obeid said President Hosni Mubarak meets Japanese Foreign Minister Yukihiko Ikeda today minister brief plans Egypt Japan agreed bridge across Suez Canal Japan finance Presidential adviser Osama elBaz said economic conference opening Cairo November convince Israelis interests meet Arabs halfway basis justice equality He said hoped Israeli policy would gradually change passengers survive EgyptAir accident Istanbul ALAKHBAR Foreign Minister Amr Moussa visit Tunis next week letter Tunisian President Zine alAbidine Ben Ali Transport Minister Suleiman Metwalli said companies bought documents BOT airport project Mersa Alam Red Sea coast The deadline bids project end September It decided carry urgent plan develop mental hospitals Abbasiya Khanka Helwan An Iraqi trade delegation visit Egypt early September discuss Iraqi requirements Egyptian medicines ALGOMHURIA The ministerial privatisation committee soon discuss offering eight state companies sale next month The shares offer would value million pounds million Atef Obeid said = pounds,GCAT
The following leading stories Finnish papers morning HELSINGIN SANOMAT The Observer newspaper says Finnish internetdistributor involved spreading child porn net The Finn says total rubbish No technical fault found rally car rushed spectator area resulting one dead injured Lakes Rally Newspaper test group families take care house keeping themselves Would mainly like buy cleaning massaging services cheaper KAUPPALEHTI The weakening markka last Friday Bank Finlands tender rate cut positive forest industry Markka linked ERM weakened enough Forest Industries Federation head Matti Korhonen said AAMULEHTI Raisio margarine producer targets fast growing markets Eastern Europe Amount women keep surname get married rise last year percent women kept names compared seven percent year earlier TURUN SANOMAT Kids taught good manners like say hello good eating habits school Education Minister OlliPekka Heinonen said Formula one race car driver Mika Hakkinen third Belgium Grand Prix HUFVUDSTADSBLADET Finnish women celebrated th anniversary right vote Helsinki amusement park Paivi Mattila Helsinki Newsroom,GCAT
BIRTHDAYS German poet JOHANN WOLFGANG VON GOETHE born Pioneer vigneron JOHANN GRAMP born Bavaria After migrating Australia set business Jacobs Creek South Australia The vineyard success produced major national wine label Russian writer COUNT LEO TOLSTOY wrote War And Peace Anna Karenina born Author VANCE PALMER born Bundaberg Queensland He novelist playwright poet Labor politician ARTHUR CALWELL born West Melbourne He long stormy politicial career He credited architect Australias postwar immigration policy He survived attempted assassination outside Mosman Town Hall French actor CHARLES BOYER born American dancer singer actor DONALD OCONNOR born He starred musicals child long varied career American actor singer DAVID SOUL SOLBERG born He played Ken Hutchinson television series Starsky Hutch After success Hutch hit Dont Give Up On Us Going In With My Eyes Open Silver Lady Lets Have Quiet Night In One OSMOND brothers WAYNE born He played guitar saxophone The Osmonds British singer duo Mel Kim KIM APPLEBY born Hits sister Mel included Showing Out Respectable Thats The Way It Is Mel died cancer age EVENTS The Channel telegraph laid Dover Cap Gris Nez Cetewayo or Cetshwayo last great Zulu kings captured British end Zulu War The Victorian government declared Melbourne Cup day holiday lived city The first big naval encounter World War One took place British German ships North Sea island Heligoland The Germans lost three ships sailors British casualties killed The first ever radio advertisement minute property commercial Queensboro Corp broadcast station WEAF New York The Brisbane Courier Mail newspaper formed merger Brisbane Courier Daily Mail The morning newspaper citys remaining daily Australias Prime Minister ROBERT MENZIES resigned handing countrys top job ARTHUR FADDEN MENZIES resignation followed Labor partys rejection offer allparty government A little month resignation government defeated noconfidence motion Labors JOHN CURTIN became Prime Minister The Liberal Party formally inaugurated Sydney In sensational case New Zealand two schoolgirls convicted murder The victim mother one girls yearold PAULINE PARKER Her accomplice yearold JULIET MARION HUME They found guilty murdering HONORA PARKER bashing brick pair learnt plans separate them Police said PAULINE PARKER outlined murder plan dairy called the happy event described eve murder sort nightbefore Christmassy They youngest people convicted murder New Zealand The Reverend MARTIN LUTHER KING JR delivered I dream speech civil rights demonstrators marched Washington The inventor board game Monopoly CHARLES DARROW died Three jet planes belonging Italian air force aerobatics team collided air show West Germany killing people The aircraft performing complicated manoeuvre front crowd US Air base Ramstein Four Britains biggest businessmen found guilty theft conspiracy defraud Former chairman Guinness ERNEST SAUNDERS chairman Heron company GERALD RONSON Britains second biggest private company financier Sir JACK LYONS stockbroker ANTHONY PARNES involved illegal sharefixing operation ensure Guinness takeover bid Distillers company LYONS PARNES RONSON received thank you payments close million each Compiled ABC ARCHIVES ABC RADIO NATIONAL On This Day published REED INTERNATIONAL BOOKS LIMITED The Chronicle Of The th Century published PENGUIN BOOKS Rock And Pop Day By Day published BLANDFORD BOOKS Reuters Sydney Newsroom,GCAT
Some major airlines tried boost fares response return federal excise tax tickets The Wall Street Journal reported Wednesday However effort began crumble Northwest Airlines Corp USAir Group Inc refused increase prices UAL Corps United Airlines AMR Corps American Airlines Delta Air Lines posted percent fare increases early Tuesday cover resumption percent tax The newspaper also reported President Bill Clinton proposes new taxes raise billion education McDonalds Corp wins back rights trademarks South Africa Layoffs Lam Research Corp Unit Instruments Inc signal weakness chipequipment sector Cancer concerns prompt Amoco Corp seal floor Illinois research building Feed companies Kyowa Hakko Kogyo Co Ltd Ajinomoto Co Sewon Co agree settle pricefixing charges lysine testify Archer Daniels Midland Co US appeals court clears major legal obstacle Lloyds London recovery plan The Dow Jones Industrial Average rises points The Nasdaq composite index jumps points FoxMeyer Health Corp unit files bankruptcy Boeing Co plans add workers boost production rate Britains Prudential Corp Plc selling reinsurance unit Swiss Reinsurance Co Consumer confidence sixyear high New York newsroom,GCAT
These leading stories Mondays afternoon daily Le Monde dated Aug FRONT PAGE Ipsos poll reports majority French public opinion sympathises plight Africans seeking renew obtain work residence permits calling government stubborn confused coldhearted BUSINESS PAGES SNCF railway trade unions want renegotiation government bailout package European Union prepares proposals increase competition World steel market shows signs upturn Paris Newsroom,GCAT
